"stimulus","cond","condition","correct_response"
"enfum","Pseudo",3,"m"
"kold","Pseudo",3,"m"
"wekkers","LF",2,"n"
"csa'lo","Random",4,"m"
"honkbal","LF",2,"n"
"rvwesie","Random",4,"m"
"fede","Pseudo",3,"m"
"panty's","LF",2,"n"
"wasbeer","LF",2,"n"
"iacrts","Random",4,"m"
"lshjpeu","Random",4,"m"
"scooters","LF",2,"n"
"hopen","HF",1,"n"
"motto's","LF",2,"n"
"tellen","HF",1,"n"
"beertjes","LF",2,"n"
"sluiten","HF",1,"n"
"volle","HF",1,"n"
"gebaan","Pseudo",3,"m"
"radars","LF",2,"n"
"omtrent","HF",1,"n"
"trjeoo","Random",4,"m"
"eiden","Pseudo",3,"m"
"egtjjwi","Random",4,"m"
"daarmee","HF",1,"n"
"wezens","HF",1,"n"
"raam","HF",1,"n"
"cakes","LF",2,"n"
"vermeld","HF",1,"n"
"voorbij","HF",1,"n"
"eestijk","Pseudo",3,"m"
"keuken","HF",1,"n"
"fkjlea","Random",4,"m"
"rijder","LF",2,"n"
"cordt","Pseudo",3,"m"
"ldosoje","Random",4,"m"
"sgao't","Random",4,"m"
"gruit","Pseudo",3,"m"
"zweertje","LF",2,"n"
"cycloon","LF",2,"n"
"prima","HF",1,"n"
"pizza's","LF",2,"n"
"blad","HF",1,"n"
"plonsen","LF",2,"n"
"ovkoeet","Random",4,"m"
"seenstj","Random",4,"m"
"sgisend","Random",4,"m"
"eignrgb","Random",4,"m"
"tespja","Random",4,"m"
"schiek","Pseudo",3,"m"
"boven","HF",1,"n"
"sehrfifs","Random",4,"m"
"geweest","HF",1,"n"
"brandje","LF",2,"n"
"limoen","LF",2,"n"
"reviews","LF",2,"n"
"treintje","LF",2,"n"
"fetssoj","Random",4,"m"
"iertmje","Random",4,"m"
"eirtsn","Random",4,"m"
"zaaltjes","LF",2,"n"
"leunde","HF",1,"n"
"loorden","Pseudo",3,"m"
"koom","Pseudo",3,"m"
"bezwaar","HF",1,"n"
"enkel","HF",1,"n"
"bever","LF",2,"n"
"kapjes","LF",2,"n"
"deven","Pseudo",3,"m"
"anver","Pseudo",3,"m"
"praat","HF",1,"n"
"ojjo","Random",4,"m"
"zwijntje","LF",2,"n"
"genorgd","Pseudo",3,"m"
"macho","LF",2,"n"
"toster","Random",4,"m"
"ietm","Random",4,"m"
"tocht","HF",1,"n"
"horgen","Pseudo",3,"m"
"schoden","Pseudo",3,"m"
"steeds","HF",1,"n"
"esatips","Random",4,"m"
"bebest","Pseudo",3,"m"
"deurde","Pseudo",3,"m"
"tteser","Random",4,"m"
"dize","Pseudo",3,"m"
"adwel","Pseudo",3,"m"
"jotra","Pseudo",3,"m"
"olaavc","Random",4,"m"
"prijgen","Pseudo",3,"m"
"verlies","HF",1,"n"
"sammer","Pseudo",3,"m"
"vrochten","Pseudo",3,"m"
"slas","Pseudo",3,"m"
"loodjes","LF",2,"n"
"mooiste","HF",1,"n"
"geurtje","LF",2,"n"
"jaam","Pseudo",3,"m"
"eembozs","Random",4,"m"
"lapij","Pseudo",3,"m"
"sultans","LF",2,"n"
"belocht","Pseudo",3,"m"
"jammer","HF",1,"n"
"stroppen","LF",2,"n"
"brukken","Pseudo",3,"m"
"kroegjes","LF",2,"n"
"deuntjes","LF",2,"n"
"korte","HF",1,"n"
"procent","HF",1,"n"
"kuisen","LF",2,"n"
"designs","LF",2,"n"
"ujekde","Random",4,"m"
"sletten","LF",2,"n"
"tuile","Pseudo",3,"m"
"eeejlutw","Random",4,"m"
"sonbs","Random",4,"m"
"snonning","Pseudo",3,"m"
"ylllo","Random",4,"m"
"geluk","HF",1,"n"
"kaas","HF",1,"n"
"kijken","HF",1,"n"
"vruchtje","LF",2,"n"
"ejrhtas","Random",4,"m"
"keek","HF",1,"n"
"dakpan","LF",2,"n"
"kwart","HF",1,"n"
"sles","Pseudo",3,"m"
"gommen","LF",2,"n"
"troedt","Pseudo",3,"m"
"kiegen","Pseudo",3,"m"
"okjres","Random",4,"m"
"cochten","Pseudo",3,"m"
"wuejtoms","Random",4,"m"
"jogging","LF",2,"n"
"tellers","LF",2,"n"
"richten","HF",1,"n"
"keste","Pseudo",3,"m"
"gleufjes","LF",2,"n"
"twintig","HF",1,"n"
"rudtmsel","Random",4,"m"
"jokers","LF",2,"n"
"spindig","Pseudo",3,"m"
"melst","Pseudo",3,"m"
"tonijn","LF",2,"n"
"rkcicet","Random",4,"m"
"slaebl","Random",4,"m"
"skejtte","Random",4,"m"
"druifjes","LF",2,"n"
"eijlks","Random",4,"m"
"veraakt","Pseudo",3,"m"
"mijkt","Pseudo",3,"m"
"zuiltje","LF",2,"n"
"stil","HF",1,"n"
"roeier","LF",2,"n"
"panters","LF",2,"n"
"meeste","HF",1,"n"
"zeurdibs","Random",4,"m"
"bedrag","HF",1,"n"
"cest","Pseudo",3,"m"
"mjapaens","Random",4,"m"
"faatste","Pseudo",3,"m"
"tonen","HF",1,"n"
"goals","LF",2,"n"
"neen","HF",1,"n"
"blastir","Pseudo",3,"m"
"jkbees","Random",4,"m"
"malen","HF",1,"n"
"voon","Pseudo",3,"m"
"peukjes","LF",2,"n"
"jlsueki","Random",4,"m"
"feest","HF",1,"n"
