"Practice","RT","accuracy","adaptive_category","adaptive_change","adaptive_phase","alternation_detected","block","cond","condition","correct","correct_keyboard_response","correct_response","data_row_type","display_height","display_width","experiment_path","experimental_trial_count","exposure_HF","exposure_LF","exposure_Pseudo","exposure_Random","exposure_floor_reached","exposure_time_after","exposure_time_before","fixation_dur","history_HF","history_LF","history_Pseudo","history_Random","keyboard_backend","mouse_backend","outcome_history_after","outcome_history_before","response_keyboard_response","response_time_keyboard_response","response_was_timeout","scaled_font_size","step_HF","step_LF","step_Pseudo","step_Random","step_size_after","step_size_applied","step_size_before","stimulus","subject_nr","testing_trial_limit","time_Experimental","time_Practice","time_block_start","time_end_of_block_trigger","time_end_of_experiment","time_end_of_practice_block_trigger","time_experiment","time_experimental_block","time_experimental_sequence","time_feedback","time_fixation","time_fixation_duration","time_generalpreps","time_keyboard_response","time_main_instructions","time_new_block","time_new_block_trigger","time_new_sketchpad","time_practice_block","time_practice_block_trigger","time_practice_sequence_1","time_practice_start","time_presstostart","time_response_trigger","time_stimulus","time_stimulus_trigger","time_trial_sequence","title"
"No","1013","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","1","2000","2000","1950","2000","0","1950","2000","563","","","1","","legacy","xpyriment","1","","m","1013","0","20","50","50","50","50","50","50","50","peinten","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","NA","115670","115668","1561","116235","1563","98951","115579","NA","NA","NA","NA","NA","112479","117248","116235","NA","115668","LexicalDecision"
"No","610","1","LF","-50","experimental","0","1","LF","2","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","2","2000","1950","1950","2000","0","1950","2000","571","","1","1","","legacy","xpyriment","1","","n","610","0","20","50","50","50","50","50","50","50","veldjes","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","NA","117384","117383","1561","117959","1563","98951","115579","NA","NA","NA","NA","NA","112479","118570","117959","NA","117383","LexicalDecision"
"No","622","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","3","1950","1950","1950","2000","0","1950","2000","414","1","1","1","","legacy","xpyriment","1","","n","622","0","20","50","50","50","50","50","50","50","klein","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","NA","118689","118688","1561","119106","1563","98951","115579","NA","NA","NA","NA","NA","112479","119729","119106","NA","118688","LexicalDecision"
"No","831","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","4","1950","1950","1950","1950","0","1950","2000","452","1","1","1","1","legacy","xpyriment","1","","m","831","0","20","50","50","50","50","50","50","50","eembozs","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","NA","119851","119850","1561","120305","1563","98951","115579","NA","NA","NA","NA","NA","112479","121137","120305","NA","119850","LexicalDecision"
"No","633","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","5","1950","1950","1900","1950","0","1900","1950","395","1","1","11","1","legacy","xpyriment","11","1","m","633","0","20","50","50","50","50","50","50","50","mopor","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","NA","121256","121255","1561","121653","1563","98951","115579","NA","NA","NA","NA","NA","112479","122287","121653","NA","121255","LexicalDecision"
"No","551","1","Random","-50","experimental","0","1","Random","4","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","6","1950","1950","1900","1900","0","1900","1950","435","1","1","11","11","legacy","xpyriment","11","1","m","551","0","20","50","50","50","50","50","50","50","ujekde","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","NA","122404","122403","1561","122842","1563","98951","115579","NA","NA","NA","NA","NA","112479","123394","122842","NA","122403","LexicalDecision"
"No","994","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","7","1950","1950","1850","1900","0","1850","1900","520","1","1","111","11","legacy","xpyriment","111","11","m","994","0","20","50","50","50","50","50","50","50","faarden","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","NA","123511","123510","1561","124035","1563","98951","115579","NA","NA","NA","NA","NA","112479","125029","124035","NA","123510","LexicalDecision"
"No","622","1","HF","-50","experimental","0","1","HF","1","1","1","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","8","1900","1950","1850","1900","0","1900","1950","551","11","1","111","11","legacy","xpyriment","11","1","n","622","0","20","50","50","50","50","50","50","50","meende","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","NA","125148","125147","1561","125701","1563","98951","115579","NA","NA","NA","NA","NA","112479","126324","125701","NA","125147","LexicalDecision"
"No","784","0","LF","50","experimental","0","1","LF","2","0","0","n","trial","1080","1920","/Users/justina/Downloads/lexical_decision","9","1900","2000","1850","1900","0","2000","1950","455","11","10","111","11","legacy","xpyriment","10","1","m","784","0","20","50","50","50","50","50","50","50","kotje","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","126443","126442","1561","126900","1563","98951","115579","NA","NA","NA","NA","NA","112479","127685","126900","NA","126442","LexicalDecision"
"No","1211","1","Pseudo","-50","experimental","0","1","Pseudo","3","1","1","m","trial","1080","1920","/Users/justina/Downloads/lexical_decision","10","1900","2000","1800","1900","0","1800","1850","455","11","10","1111","11","legacy","xpyriment","1111","111","m","1211","0","20","50","50","50","50","50","50","50","kraagt","13","200","98859","NA","98953","NA","NA","NA","1478","115579","98951","127714","129851","129850","1561","130308","1563","98951","115579","NA","NA","NA","NA","NA","112479","131520","130308","NA","129850","LexicalDecision"
